name,latitude,longitude
김포(상행),37.592299,126.768356
김포(하행),37.58700244,126.7606632
시흥(상행),37.45072,126.80385
시흥(하행),37.45048055,126.8031881
서서울(상행),37.35664272,126.8648238
서서울(하행),37.35493291,126.8619876
군자,37.35875579,126.7807808
이목,37.31955099,126.9857648
용인,37.28861576,127.1387267
향남,37.07012,126.88836
송탄(상행),37.030977,127.0803249
송탄(하행),37.032321,127.081361
오산(상행),37.15670802,127.0871649
오산(하행),37.1542659,127.0861027
남사,37.09619,127.12075
원곡,37.00111198,127.1519713
번천(상행),37.45446159,127.254336
번천(하행),37.45446159,127.254336
도척(상행),37.32332,127.3387835
도척(하행),37.32332718,127.3387835
상번천(상행),37.44865226,127.2736769
상번천(하행),37.44787093,127.27544
청계,37.39327011,127.0223096
성남,37.44119064,127.1347192
구리남양주,37.58972,127.1559021
생태습지,37.23526586,127.6038416
적금(상행),37.25285377,127.7036535
적금(하행),37.25885706,127.7153001
소초(상행),37.42026395,128.0019496
소초(하행),37.42026395,128.0019496
삽교(상행),37.52293298,128.27549
삽교(하행),37.52216459,128.2743265
월정(상행),37.66472501,128.5932277
월정(하행),37.66392828,128.5932328
대관령,37.6751734,128.7202156
대관령전망대,37.72400902,128.7790019
홍천강,37.71175324,127.8275845
만종(상행),37.34955,127.908801
만종(하행),37.35014699,127.9099097
횡성(상행),37.573915,127.973639
횡성(하행),37.58111815,127.9741438
북방,37.75810138,127.880209
단봉,37.45971546,129.107133
강현(상행),38.1184743,128.5795826
강현(하행),38.11953935,128.5797114
인제(상행),37.84347461,128.2354008
인제(하행),37.84093096,128.233328
양양(상행),37.99622926,128.5344015
양양(하행),37.99956719,128.5363842
이천(상행),37.24276,127.4670635
이천(하행),37.24176915,127.4654933
여주(상행),37.34228633,127.5464181
여주(하행),37.34166074,127.5467197
모가(상행),37.19659002,127.4433182
모가(하행),37.19686,127.44343
일죽(상행),37.08423849,127.4570094
일죽(하행),37.08426,127.4570094
대소,36.97707396,127.4692814
진천,36.85361062,127.4868784
농다리,36.83465606,127.494039
오창(상행),36.73519974,127.4563
오창(하행),36.73465,127.45661
봉양,37.17850371,128.1289432
가남,37.1690741,127.6265365
앙성,37.09940663,127.7157274
노은,37.03983887,127.7703458
대소원,36.97440026,127.8477682
회인,36.50179435,127.59179
탄부(상행),36.45441271,127.769757
탄부(하행),36.45441271,127.769757
상주(상행),36.42575645,128.0442945
상주(하행),36.40745,128.0699237
중앙탑(상행),37.04140228,127.8318915
중앙탑(하행),37.04071855,127.8304502
금성(상행),37.07816706,128.1504306
금성(하행),37.07784786,128.1502779
광혜원,36.95214955,127.4258721
문경(상행),36.74702,128.06114
사벌,36.46289,128.20033
낙상,36.44756543,128.2059013
문경(하행),36.716794,128.105148
연곡,36.95431144,127.1830073
입장,36.91443246,127.1884647
옥산,36.655882,127.372294
신탄진,36.42535428,127.4166966
서대전,36.3157,127.30662
유성,36.38088562,127.3354653
북대전(상행),36.40660321,127.3675659
북대전(하행),36.40617198,127.3678197
옥천(상행),36.32809569,127.5408926
옥천(하행),36.33624741,127.5284274
청성,36.27171161,127.7407581
추풍령(상행),36.2106,127.9886414
추풍령(하행),36.21098462,127.9885463
산내,36.28080824,127.4495555
당진(상행),36.90075043,126.7184687
당진(하행),36.90075043,126.7184687
용연,36.86123428,126.645546
고북,36.65116146,126.5583118
갈산,36.63471618,126.5531285
서산,36.828862,126.588515
금남,36.45063,127.25409
시초,36.12771449,126.7661638
부여,36.31945138,126.8743153
삼례(상행),35.90227648,127.05752
삼례(하행),35.91813603,127.0700848
전주(상행),35.86955,127.0513858
전주(하행),35.86947805,127.05163
서전주,35.81832633,127.0295201
태인,35.66350643,126.9322504
정우(상행),35.63536201,126.9008508
정우(하행),35.63629248,126.90284
내장산(상행),35.49776,126.79853
내장산(하행),35.53813,126.81431
마이산(상행),35.771398,127.357982
마이산(하행),35.767278,127.363435
금산(상행),36.03912,127.56669
금산(하행),36.06055,127.55243
무주(상행),35.93472,127.65982
